State,Year,annual_average_dni,annual_average_precipitation,annual_average_snowfall,annual_average_temperature,annual_average_windspeed,annual_gdp,annual_revenue_of_electricity_providers,annual_subsidies,average_electricity_price,prime_supplier_residual_oil,total_coal_consumption,total_natural_gas_consumption,potential_hydro_cap,potential_hydro_gen,total_state_area,producer_price_index,electricity_generated_from_biomass,electricity_generated_from_coal,electricity_generated_from_geothermal,electricity_generated_from_hydroelectrical,electricity_generated_from_natural_gas,electricity_generated_from_others,electricity_generated_from_other_gases,electricity_generated_from_petroleum,electricity_generated_from_pump_storage,electricity_generated_from_solar_and_photovoltaics,electricity_generated_from_wind,electricity_generated_from_wood_and_wood_derivatives,renewable_energy_percentage
AK,1998,2.0740186030000003,877.2619469026547,1522.360465116279,0.096864406779661,37.941176470588225,149613.2,508097000,-293.6,9.97,0.0,0,434871,4530.0,39683.0,665384.0,123.92307692307692,0.0,524613.0,0.0,1113332.0,3352895.0,0.0,0.0,836467.0,0.0,0.0,0.0,1538.0,19.12677382912052
AK,1999,1.9185109059999998,908.9247933884295,2563.230769230769,-2.1177192982456137,36.3235294117647,155171.9,517414000,-375.0,9.78,0.0,0,422816,4530.0,39683.0,665384.0,124.92307692307692,0.0,523369.0,0.0,816608.0,3588075.0,0.0,0.0,874256.0,0.0,0.0,0.0,0.0,14.073847855025964
AK,2000,2.1299610909999998,914.690082644628,2016.7564102564106,-0.06394736842105267,36.75609756097561,157697.7,535246000,-351.0,10.08,0.0,0,427288,4530.0,39683.0,665384.0,132.15384615384616,0.0,538673.0,0.0,1001819.0,3975832.0,0.0,0.0,640201.0,0.0,0.0,0.0,0.0,16.272475138166417
AK,2001,2.349591939,929.5908333333333,2429.1857142857143,0.010973451327433652,34.92857142857143,157137.9,574715000,-462.4,10.54,0.0,514513,408960,4530.0,39683.0,665384.0,133.76923076923077,0.0,564593.0,0.0,1345664.0,3895568.0,0.0,0.0,936990.0,0.0,0.0,0.0,0.0,19.95700608722025
AK,2002,2.578288667,1072.805303030303,1954.0123456790122,1.3533587786259542,34.395348837209305,161258.0,571871000,-495.6,10.46,0.0,562022,419131,4530.0,39683.0,665384.0,130.6153846153846,0.0,575286.0,0.0,1439351.0,3778161.0,0.0,0.0,962369.0,0.0,0.0,0.0,0.0,21.307408092205566
AK,2003,2.645658206,924.0173913043477,1897.8875,1.0193076923076922,36.404761904761905,165250.5,584243000,-452.3,10.5,0.0,341545,414234,4530.0,39683.0,665384.0,137.69230769230768,0.0,549665.0,0.0,1582537.0,3354483.0,0.0,0.0,846273.0,0.0,0.0,0.0,0.0,24.988907237344698
AK,2004,2.517055568,939.7870229007634,2150.9852941176473,0.5344715447154471,35.95454545454545,175916.8,636008000,-391.5,10.99,0.0,393029,406319,4530.0,39683.0,665384.0,146.30769230769232,0.0,648981.0,0.0,1498021.0,3623432.0,0.0,0.0,747067.0,0.0,0.0,0.0,0.0,22.98459179369516
AK,2005,2.463371108,1026.6592592592592,1731.9714285714285,0.6563779527559055,35.79545454545455,181871.0,693022000,-506.9,11.72,0.0,398413,432972,4530.0,39683.0,665384.0,157.0,0.0,624317.0,0.0,1463942.0,3723625.0,0.0,0.0,758929.0,0.0,0.0,0.0,0.0,22.27946526556151
AK,2006,2.30704197,1079.22375,2475.732558139535,-0.4527777777777778,35.0,185337.0,794064000,-475.4,12.84,0.0,408004,373850,4530.0,39683.0,665384.0,164.23076923076923,0.0,617418.0,0.0,1223609.0,4057731.0,0.0,0.0,767987.0,0.0,0.0,0.0,0.0,18.35391934144774
AK,2007,2.208917098,1027.3939024390243,2363.3932584269664,0.3523076923076923,34.594594594594604,186499.4,840471000,-481.8,13.28,0.0,414144,369967,4530.0,39683.0,665384.0,172.23076923076923,0.0,641409.0,0.0,1291223.0,3867539.0,0.0,0.0,1009990.0,0.0,0.0,0.0,0.0,18.96024190911199
AK,2008,2.064502623,1214.444966442953,2926.2564102564097,-1.4532768361581918,32.142857142857146,185280.6,932237000,-443.3,14.74,0.0,427228,341888,4530.0,39683.0,665384.0,189.0,0.0,617896.0,0.0,1171802.0,4002473.0,0.0,0.0,977914.0,0.0,0.0,0.0,0.0,17.308527145523282
AK,2009,2.443425809,908.3315476190477,2384.2065217391305,-0.5666176470588236,31.558823529411764,178893.4,946211000,-519.1,15.09,0.0,436549,342261,4530.0,39683.0,665384.0,172.6153846153846,0.0,630591.0,0.0,1323744.0,3577403.0,0.0,0.0,1156883.0,0.0,0.0,0.0,0.0,19.790985316704298
AK,2010,2.255148557,974.4977011494252,1871.4255319148936,0.2325446428571429,32.69230769230769,183014.5,922262000,-461.2,14.76,0.0,409828,333312,4530.0,39683.0,665384.0,184.15384615384616,0.0,620443.0,0.0,1433142.0,3750023.0,0.0,0.0,937054.0,0.0,0.0,0.0,0.0,21.26114616042163
AK,2011,2.23934423,1211.4421052631578,2635.383333333333,-0.5283829787234042,35.73684210526316,185666.9,1015977000,-509.6,16.08,0.0,409365,335458,4530.0,39683.0,665384.0,200.6153846153846,0.0,656385.0,0.0,1344747.0,3906432.0,0.0,0.0,944999.0,0.0,0.0,0.0,0.0,19.62400053819279
AK,2012,2.1307956630000002,1080.378313253012,2617.189655172414,-1.7491666666666668,34.67567567567568,186553.9,1047781000,-484.7,16.33,0.0,427227,343110,4530.0,39683.0,665384.0,201.6153846153846,0.0,684960.0,0.0,1575045.0,3606037.0,0.0,0.0,1037761.0,0.0,0.0,0.0,0.0,22.814164888540418
AK,2013,2.505789794,1139.9058823529413,2756.2,0.006903553299492376,33.05263157894737,188814.2,1033347000,-457.1,16.49,0.0,399626,332298,4530.0,39683.0,665384.0,203.07692307692307,0.0,624622.0,0.0,1435480.0,3421004.0,0.0,0.0,818652.0,0.0,0.0,0.0,0.0,22.78627210759524
AK,2014,2.868051578,1086.7552795031056,1182.050847457627,1.01,33.027027027027025,187568.0,1076133000,-466.9,17.46,0.0,654740,328945,4530.0,39683.0,665384.0,205.0,0.0,564796.0,0.0,1530315.0,3033337.0,0.0,0.0,786824.0,0.0,0.0,0.0,0.0,25.870577041934844
AK,2015,2.377747919,1004.6307692307691,1371.578947368421,0.4589795918367347,36.0,189428.8,1083422000,-440.7,17.59,0.0,730992,333602,4530.0,39683.0,665384.0,189.92307692307693,0.0,667550.0,0.0,1568928.0,3089711.0,0.0,0.0,746568.0,0.0,0.0,0.0,0.0,25.835514248306
AK,2016,3.6792954460000002,1037.1679487179488,1057.7230769230769,1.6208108108108108,36.648648648648646,191523.4,1097719000,-517.9,17.93,0.0,644483,330552,4530.0,39683.0,665384.0,184.92307692307693,0.0,541386.0,0.0,1549439.0,2323312.0,0.0,0.0,787310.0,0.0,0.0,0.0,0.0,29.78861459128585
GA,1998,5.11396748,1348.3203389830508,2.0,18.448571428571427,27.66666666666667,353292.8,7087107000,-732.8,6.4,248.5,0,368579,580.0,3341.0,59425.0,123.92307692307692,54348.0,70878052.0,0.0,5234521.0,3293140.0,6681.0,0.0,1571191.0,-172698.0,0.0,0.0,3078070.0,9.7616373336742
GA,1999,5.558943542000001,1053.2100917431192,4.794392523364486,17.69808510638298,25.72727272727273,378237.4,7024803000,-915.7,6.24,226.6,0,337576,580.0,3341.0,59425.0,124.92307692307692,47112.0,75144659.0,0.0,2751174.0,3228769.0,9069.0,0.0,1562467.0,-48086.0,0.0,0.0,3165459.0,6.889839362101997
GA,2000,5.386181548,1064.6747663551405,20.824074074074076,17.310392156862747,25.41666666666667,391210.2,7403936000,-924.4,6.21,225.8,0,413845,580.0,3341.0,59425.0,132.15384615384616,89340.0,80100450.0,0.0,2480797.0,4251077.0,1530.0,0.0,1620653.0,-154828.0,0.0,0.0,3015459.0,5.941468206842119
